8436,150,831,2595,4559,301,15430,2816,2240,1076,9298,1673,2625,742,5000
2154,30,190,612,1182,140,6493,3296,544,408,2245,551,601,211,1093
4268,140,241,1142,2675,70,20490,4128,1168,565,14629,11934,651,120,2044
3407,30,250,582,2495,50,6522,2592,1120,266,2544,480,802,211,1262
2365,40,381,571,1323,50,5902,2592,432,253,2625,521,621,210,1483
2104,50,220,571,1223,40,19578,5696,672,8130,5080,1072,1423,461,2585
1403,50,201,431,651,70,5401,2256,608,222,2315,331,441,130,1543
4549,40,431,1392,2525,161,9659,4800,1456,527,2876,321,751,301,1804
2665,50,231,621,1713,50,6563,2176,1056,746,2585,551,731,441,1303
2014,40,160,652,1112,50,5752,2624,480,323,2325,511,872,130,942
2826,50,391,651,1674,60,5391,2144,320,502,2425,591,662,140,1172
2154,50,180,611,1253,60,5681,2592,704,241,2144,521,491,231,1132
2094,40,130,561,1303,60,5110,2016,624,506,1964,290,451,110,1223
2174,40,221,601,1222,90,8186,1840,624,1604,4118,921,1043,340,2154
2034,40,151,581,1212,50,6784,2688,1248,1024,1824,361,491,110,972
2905,40,180,672,1853,160,6282,2240,672,1527,1843,370,461,130,1012
